"","Plasma.T.rd","Time.trap","Time.bled","Time.delay","FW.No","ABBBS.No.","Current.Colors","Year","Date","recap","Site","Bander","Sex","Sexed.how.","Age","Aged.how.","Plumage.Type","wing","tarsus","tail","Top.Culm","Brood.Patch","Shoulder.Area","Eyebrow","White.Chin","fat","Ectoparasites","Molt.wing","Molt.total","bird.weight","status","Breed.stage","Blood.hemato","Blood.plasma","Plasma.T","Molt.","Eccentric.molt.","Minimum.T.","Eggs","MTresid","logMTresid","Eyebrow.Length","Playback.Used.","index","Sample","pg.in.tube","recovery","total.pg","Plasma.mL","prop.in.assay","mL.in.tube","pg.mL","minTmerge","Subspecies","jul_date","Time_delay_sec","MoltYN","BreedYN","sunrise","Time.trap.sec","T_aft_sunrise","LPlasma.T","minT_compiled","andr.detected"
"22",389.17,"17:10:00","17:24:00","0:14:00","13-04009",36097,"OYW","2014","6/10/14",1,"Garuahi","SK","M","Known","1","Known","Glossy",44.2,22.6,45.5,10.6,NA,297.33,"N",NA,2,0,1,6,10.13,NA,"Prebreed",18.5,19.2,389.1689453,0,NA,"yes",NA,0.697549826,0.0736892,NA,"N",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",161,840,"Yes","No",21600,61800,40200,5.9640135560184,"yes",0
"23",410.84,"17:43:00","17:47:00","0:04:00","13-04011",36099,"GOW","2014","7/18/14",1,"Garuahi","EDE","M","S, CP","2+","Known","Glossy",45.7,24,41.2,11.5,"No",233.18,"N","N",2,0,1,7,10.05,NA,"Prebreed",30,31.1,410.8396963,0,"NO","no",NA,0.367785964,0.039376307,NA,"N",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",199,240,"Yes","No",21600,63780,42180,6.01820310508012,"no",1
"24",414.18,"16:26:00","16:41:00","0:15:00","13-04010",36098,"EWG","2014","7/31/14",1,"Garuahi","SK","M","S, CP","1+","Plumage","Glossy",46.8,23.5,42,10.9,"N",278.2,"N","N",2,0,0,4,8.68,"BM","Nestlg",33.3,27.4,414.1767703,0,NA,"no",NA,-0.852355719,-0.091433253,NA,"N",85,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",212,900,"Yes","Yes",21600,59160,37560,6.02629286409566,"no",1
"25",484.94,"9:52:00","10:00:00","0:08:00","12-04003",36004,"WKW","2014","6/4/14",1,"Garuahi","EDE","F","Plum","3+","Known","Black",NA,NA,NA,NA,NA,NA,"L","N",NA,NA,0,6,8.13,NA,"Prebreed",NA,36.5,484.9407303,0,NA,"no",NA,-0.266081247,-0.029213583,NA,"N",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",155,480,"Yes","No",21600,35520,13920,6.18402667790276,"no",1
"26",488.79,"6:54:00","7:03:00","0:09:00","14-04052",36169,"YWB","2014","7/24/14",0,"Porotona","EDE","F","Plum","1+","Skull","Black",43.4,22.8,45,10.1,"NO",263.98,"N","N",0,2,0,4,8.23,"BF","Prebreed",40.9,38.3,488.7914889,0,NA,"no",NA,-0.663948639,-0.074142954,NA,"N",75,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",205,540,"Yes","No",21600,24840,3240,6.19193599547175,"no",1
"27",541.09,"6:10:00","6:26:00","0:16:00","13-04014",36103,"Y","2014","7/16/14",1,"Garuahi","EDE","F","Plum","2+","Known","Black",44.5,NA,49.4,10.9,"no",230.86,"L","L",0,1,0,0,6.87,NA,"Prebreed",24.4,25.7,541.0941685,0,NA,"no",NA,-1.644621102,-0.211465026,NA,"N",53,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",197,960,"No","No",21600,22200,600,6.29359332746994,"no",1
"28",696.81,"7:17:00","7:29:00","0:12:00","14-04022",36126,"YOB","2014","6/26/14",0,"Porotona","EDE","F","Plum","1+","Skull","Black",44,22.4,46.8,10.5,NA,312,"N","N",0,1,1,8,8.44,NA,"Prebreed",25,29.3,696.8120183,0,"NO","no",NA,-0.264284871,-0.027490055,NA,"N",20,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",177,720,"Yes","No",21600,26220,4620,6.54651567323685,"no",1
"29",1133,"6:23:00","6:27:00","0:04:00","12-04039",36040,"EEK","2014","7/15/14",1,"Garuahi","EDE","M","S, CP","3+","Known","Glossy",45.6,23.1,44.1,11.5,"no",300.24,"N","N",0,1,1,7,9.27,NA,"Prebreed",38.3,33.4,1132.996053,0,"NO","no",NA,0.056093206,0.008680648,NA,"N",48,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",196,240,"Yes","No",21600,22980,1380,7.03262077735027,"no",1
"30",1175.24,"7:44:00","7:54:00","0:10:00","11-07028",11024,"OGO","2014","7/14/14",1,"Garuahi","EDE","M","S, CP","4+","Known","Glossy",46.2,23.4,43.1,11.7,"No",257.85,"N","N",1,2,0,4,9.24,NA,"Prebreed",55.8,55.2,1175.235948,0,"NO","no",NA,-0.224919476,-0.021742325,NA,"N",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",195,600,"Yes","No",21600,27840,6240,7.06922421322778,"no",1
"31",2558.94,"6:50:00","7:03:00","0:13:00","14-04017",36121,"KEG","2014","6/17/14",0,"Garuahi","MA","M","S, CP","1+","Plumage","Glossy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prebreed",20.4,19,2558.942817,NA,NA,"no",NA,NA,NA,NA,"N",13,NA,NA,NA,NA,NA,NA,NA,NA,NA,"M.a.moretoni",168,780,NA,"No",21600,24600,3000,7.8473494900719,"no",1
