"","Trial_Sex","Date","Time","Subspecies","Sex","MntM","MntF","Song_actual","BreedYN","Mount_Pheno","Sex_Mount_Pheno","duet_song_rate","total_T_less_5_proportion","Duet_lat","Flyby_proportion","lat_5","Leapfrog_prop"
"62","M1624_M","1/31/16","6:55","M.a.moretoni","M","B4","C1","6_M.a.moretoni","Y","Ornamented","M_Ornamented",0.001104016,0.1874749,123.969567,0.001104016,237.177402,0
"63","M1625_M","1/31/16","8:15","M.a.moretoni","M","B3","A2","6_M.a.moretoni","N","Unornamented","M_Unornamented",0.008353963,0.166121906,59.256901,0.001193423,72.953071,0.00358026968939957
"64","M1625_F","1/31/16","8:15","M.a.moretoni","F","B3","A2","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.011934232,0.090211132,11.794219,0.002386846,93.638957,0.00358026968939957
"65","M1626_F","1/31/16","9:15","M.a.moretoni","F","B2","C3","1_M.a.moretoni","N","Ornamented","F_Ornamented",0.00567325,0.035388822,94.343978,0.002836625,30.626989,0
"66","M1626_M","1/31/16","9:15","M.a.moretoni","M","B2","C3","1_M.a.moretoni","N","Ornamented","M_Ornamented",0.009928187,0.031664441,42.230039,0.002836625,29.049963,0
"67","M1627_F","2/1/16","6:11","M.a.moretoni","F","B4","A1","1_M.a.moretoni","N","Unornamented","F_Unornamented",0.019297285,0.216613421,9.271447,0.002756755,25.805525,0
"68","M1627_M","2/1/16","6:11","M.a.moretoni","M","B4","A1","1_M.a.moretoni","N","Unornamented","M_Unornamented",0.012405398,0.226972213,16.165236,0.00551351,27.94668,0
"69","M1629_F","2/1/16","8:00","M.a.moretoni","F","B2","C2","1_M.a.moretoni","N","Ornamented","F_Ornamented",0.008709057,0.496822779,8.431342,0.001451509,20.105509,0.00145150947942957
"70","M1629_M","2/1/16","8:00","M.a.moretoni","M","B2","C2","1_M.a.moretoni","N","Ornamented","M_Ornamented",0.005806038,0.905994845,15.878256,0.026127171,21.594429,0.00145150947942957
"71","M1631_M","2/4/16","6:20","M.a.moretoni","M","B3","A4","6_M.a.moretoni","N","Unornamented","M_Unornamented",0.011110414,0.758897865,20.813832,0.005555207,14.756075,0.00833281061149434
"72","M1631_F","2/4/16","6:20","M.a.moretoni","F","B3","A4","6_M.a.moretoni","N","Unornamented","F_Unornamented",0.013888018,0.678362572,11.540685,0.002777604,10.604954,0.00833281061149434
