"","Time_delay_sec","Sex","Subspecies","Plasma.T","LPlasma.T","jul_date","Time_delay_sec.1","T_aft_sunrise","ABBBS.No.","Year","andr.detected","minT_compiled"
"135",180,"M","M.a.moretoni",511.04,6.23644786502665,275,180,38940,36175,2015,1,"no"
"136",240,"F","M.a.moretoni",513.55,6.24134739561181,250,240,40320,36148,2015,1,"no"
"137",146,"M","M.a.moretoni",534.34,6.28103234046997,320,146,2040,47731,2015,1,"no"
"138",165,"M","M.a.moretoni",547.71,6.30574594979353,224,165,39500,36158,2015,1,"no"
"139",276,"M","M.a.moretoni",551.64,6.31289565960614,317,276,38650,36093,2015,1,"no"
"140",189,"F","M.a.moretoni",614.5,6.42080892900609,319,189,-165,47722,2015,1,"no"
"141",210,"M","M.a.moretoni",648.56,6.47475452067945,317,210,2890,36121,2015,1,"no"
"142",240,"M","M.a.lorentzi",667.4,6.50338956631727,189,240,5640,47655,2015,1,"no"
"143",395,"M","M.a.lorentzi",685.59,6.5302797814129,184,395,11580,47632,2015,1,"no"
"144",150,"F","M.a.moretoni",685.97,6.5308338949912,219,150,41520,36167,2015,1,"no"
"145",338,"M","M.a.moretoni",710.78,6.56636295857456,223,338,14880,36125,2015,1,"no"
"146",180,"F","M.a.moretoni",728.54,6.59104253147176,245,180,41100,36150,2015,1,"no"
"147",266,"M","M.a.lorentzi",754.23,6.62569736128058,186,266,4080,47638,2015,1,"no"
"148",294,"M","M.a.lorentzi",754.23,6.62569736128058,186,294,13680,47700,2015,1,"no"
"149",260,"M","M.a.moretoni",754.81,6.62646606194929,207,260,1560,36093,2015,1,"no"
"150",125,"F","M.a.moretoni",763.46,6.63786073297847,224,125,2185,47751,2015,1,"no"
"151",180,"F","M.a.moretoni",766.49,6.64182165191235,283,180,41340,47754,2015,1,"no"
"152",306,"M","M.a.lorentzi",780.49,6.6599219275736,188,306,13500,36146,2015,1,"no"
"153",180,"M","M.a.moretoni",796.46,6.68017690837782,306,180,7380,36029,2015,1,"no"
"154",120,"M","M.a.moretoni",874.05,6.77313758225719,308,120,9360,36003,2015,1,"no"
"155",317,"M","M.a.lorentzi",927.95,6.83297785202431,187,317,3900,47615,2015,1,"no"
"156",350,"M","M.a.moretoni",933.59,6.83903736968962,200,350,12088,11027,2015,1,"no"
"157",135,"M","M.a.moretoni",934.41,6.83991531407149,309,135,7190,47716,2015,1,"no"
"158",270,"M","M.a.moretoni",1047.11,6.95378926743404,318,270,2135,47762,2015,1,"no"
"159",180,"M","M.a.moretoni",1095.51,6.9989752872458,250,180,-720,36093,2015,1,"no"
"160",180,"M","M.a.moretoni",1114.5,7.01616115282592,307,180,42000,36016,2015,1,"no"
"161",325,"M","M.a.lorentzi",1166.33,7.06161734573608,185,325,41880,47636,2015,1,"no"
"162",210,"F","M.a.moretoni",1170.33,7.06504103930487,200,210,43140,47720,2015,1,"no"
"163",240,"M","M.a.lorentzi",1184.79,7.07732082267489,183,240,12240,36143,2015,1,"no"
"164",105,"M","M.a.moretoni",1197.75,7.08820007576323,200,105,36360,36016,2015,1,"no"
"165",180,"M","M.a.moretoni",1221.59,7.10790856788532,282,180,42120,36158,2015,1,"no"
"166",205,"M","M.a.moretoni",1367.01,7.22038115198615,218,205,36960,36162,2015,1,"no"
"167",183,"M","M.a.lorentzi",1389.7,7.23684317549254,190,183,17160,47663,2015,1,"no"
"168",240,"M","M.a.moretoni",1456.59,7.28385336645749,308,240,6240,47760,2015,1,"no"
"169",158,"M","M.a.moretoni",1752.77,7.4689526726624,308,158,43054,47701,2015,1,"no"
"170",180,"M","M.a.moretoni",1985.39,7.59357064737453,279,180,39180,36173,2015,1,"no"
"171",222,"M","M.a.moretoni",2019.01,7.61036257124757,308,222,38936,36098,2015,1,"no"
"172",120,"M","M.a.moretoni",2454.39,7.80563353684912,305,120,12780,36090,2015,1,"no"
"173",157,"M","M.a.lorentzi",3062.68,8.02704562863597,190,157,4920,47661,2015,1,"no"
"174",261,"M","M.a.moretoni",3087.24,8.03503276686401,309,261,-1020,36076,2015,1,"no"
"175",780,"M","M.a.lorentzi",65.47580984,4.18168075900762,185,780,7620,36140,2014,0,"yes"
"177",240,"M","M.a.moretoni",82.53049104,4.41316781342332,195,240,180,36090,2014,0,"yes"
"178",480,"F","M.a.moretoni",101.9398522,4.62438295503837,175,480,1380,11017,2014,0,"yes"
"179",720,"M","M.a.moretoni",105.8370128,4.66190029567447,194,720,13680,11011,2014,0,"yes"
"180",360,"M","M.a.moretoni",107.8656716,4.68088667150458,204,360,12000,36168,2014,0,"yes"
"181",540,"M","M.a.moretoni",112.7463698,4.72514078096867,205,540,3480,36170,2014,0,"yes"
"182",900,"F","M.a.moretoni",133.7301852,4.89582422676373,203,900,13260,36198,2014,0,"yes"
"183",1020,"F","M.a.moretoni",134.3205498,4.90022910597115,195,1020,180,36150,2014,0,"yes"
"184",300,"F","M.a.moretoni",135.1337527,4.90626504869969,203,300,9600,36159,2014,0,"yes"
"185",900,"M","M.a.moretoni",135.1842601,4.9066387374529,195,900,12000,36016,2014,0,"yes"
"187",1140,"F","M.a.lorentzi",162.0185489,5.08771082806055,186,1140,40620,36144,2014,0,"yes"
"188",540,"F","M.a.moretoni",166.5815882,5.11548520861951,196,540,35400,36002,2014,0,"yes"
"189",360,"F","M.a.moretoni",195.6216601,5.27618248817743,196,360,10200,36152,2014,0,"yes"
"190",240,"F","M.a.moretoni",201.053078,5.30356894285056,196,240,2100,36151,2014,0,"yes"
"191",900,"M","M.a.moretoni",239.9814967,5.48056182328652,164,900,4080,36095,2014,0,"yes"
