ABBBS.No.,Date,Year,Sex,Subspecies,Plasma.T,LPlasma.T,Time_delay_sec,jul_date,T_aft_sunrise,andr.detected
36029,7/20/15,2015,M,M.a.moretoni,495.07,6.204699167,205,201,13905,1
36175,10/2/15,2015,M,M.a.moretoni,511.04,6.236447865,180,275,38940,1
36148,9/7/15,2015,F,M.a.moretoni,513.55,6.241347396,240,250,40320,1
47731,11/16/15,2015,M,M.a.moretoni,534.34,6.28103234,146,320,2040,1
36158,8/12/15,2015,M,M.a.moretoni,547.71,6.30574595,165,224,39500,1
36093,11/13/15,2015,M,M.a.moretoni,551.64,6.31289566,276,317,38650,1
47722,11/15/15,2015,F,M.a.moretoni,614.5,6.420808929,189,319,-165,1
36121,11/13/15,2015,M,M.a.moretoni,648.56,6.474754521,210,317,2890,1
47655,7/8/15,2015,M,M.a.lorentzi,667.4,6.503389566,240,189,5640,1
47632,7/3/15,2015,M,M.a.lorentzi,685.59,6.530279781,395,184,11580,1
36167,8/7/15,2015,F,M.a.moretoni,685.97,6.530833895,150,219,41520,1
36125,8/11/15,2015,M,M.a.moretoni,710.78,6.566362959,338,223,14880,1
36150,9/2/15,2015,F,M.a.moretoni,728.54,6.591042531,180,245,41100,1
47638,7/5/15,2015,M,M.a.lorentzi,754.23,6.625697361,266,186,4080,1
47700,7/5/15,2015,M,M.a.lorentzi,414.64,6.027410674,294,186,13680,1
36093,7/26/15,2015,M,M.a.moretoni,754.81,6.626466062,260,207,1560,1
47751,8/12/15,2015,F,M.a.moretoni,763.46,6.637860733,125,224,2185,1
47754,10/10/15,2015,F,M.a.moretoni,766.49,6.641821652,180,283,41340,1
36146,7/7/15,2015,M,M.a.lorentzi,780.49,6.659921928,306,188,13500,1
36029,11/2/15,2015,M,M.a.moretoni,796.46,6.680176908,180,306,7380,1
36003,11/4/15,2015,M,M.a.moretoni,874.05,6.773137582,120,308,9360,1
47615,7/6/15,2015,M,M.a.lorentzi,927.95,6.832977852,317,187,3900,1
11027,7/19/15,2015,M,M.a.moretoni,933.59,6.83903737,350,200,12088,1
47716,11/5/15,2015,M,M.a.moretoni,934.41,6.839915314,135,309,7190,1
47762,11/14/15,2015,M,M.a.moretoni,1047.11,6.953789267,270,318,2135,1
36093,9/7/15,2015,M,M.a.moretoni,1095.51,6.998975287,180,250,-720,1
36016,11/3/15,2015,M,M.a.moretoni,1114.5,7.016161153,180,307,42000,1
